Neighbourhood,Borough,Latitude,Longitude
Alcova Heights,Arlington,38.8645566,-77.0972006
Arlington Forest,Arlington,38.8688556,-77.1130838
Arlington Heights,Arlington,38.8695566,-77.0922005
Arlington View,Arlington,38.86307935,-77.0725928623003
Aurora Hills,Arlington,38.8515014,-77.0641441
Ballston,Arlington,38.8831218,-77.1100937
Barcroft,Arlington,38.8559457,-77.1038675
Bellevue Forest,Arlington,38.9142781,-77.1135898
Bluemont,Arlington,38.8747413,-77.1330288
Bonair,Arlington,38.876033,-77.1334529500661
Brandon Village,Arlington,38.8756676,-77.1158122
Buckingham,Arlington,38.8734454,-77.1066453
Carlin Springs,Arlington,38.87717845,-77.1117832094381
Cherrydale,Arlington,38.8970561,-77.1083119
Claremont,Arlington,38.8431682,-77.1047009
Clarendon,Arlington,38.8857615,-77.0969711
Columbia Forest,Arlington,38.8540013,-77.1102566
Columbia Heights,Arlington,38.8576123,-77.1210902
Country Club Hills,Arlington,38.9140002,-77.1308124
Court House,Arlington,38.8912111,-77.085624
Crescent Hills,Arlington,38.9048337,-77.1458128
Crystal City,Arlington,38.8579043,-77.0502898
Dominion Hills,Arlington,38.8759453,-77.1410906
Donaldson Run,Arlington,38.9150538,-77.1104113
Douglas Park,Arlington,38.85308745,-77.0973286553782
East Falls Church,Arlington,38.887334,-77.1544242
Fairlington,Arlington,38.8326151,-77.0897028
Forest Hills,Arlington,38.9509441,-77.0580329
Fort Myer Heights,Arlington,38.877461,-77.0808279984826
Glencarlyn,Arlington,38.8617789,-77.1291459
Garden City,Arlington,38.9001116,-77.1352571
Greenbrier,Arlington,38.90110675,-77.1412416843229
High View Park,Arlington,38.8937692,-77.1267374393176
Halls Hill,Arlington,38.8977851,-77.1285845
Jackson Court,Arlington,38.958506,-94.470077
Lee Heights,Arlington,38.902056,-77.117201
Lyon Park,Arlington,38.8804358,-77.0898529
Madison Manor,Arlington,38.8803897,-77.1472019
Maywood,Arlington,38.8973688,-77.1002477126358
New Dover,Arlington,38.9067782,-77.1058118
Nauck,Arlington,38.8475349,-77.0877741
Green Valley,Arlington,38.8550951,-77.0887605
Old Glebe,Arlington,38.9202797,-77.1381758
Lee Knolls,Arlington,38.903776,-77.1158464999232
Penrose,Arlington,38.86859395,-77.0830772422831
Pentagon,Arlington,38.87089315,-77.0545071218923
Pentagon City,Arlington,38.8619206,-77.0596308
Prospect House,Arlington,38.8903961,-77.0841585
Reagan National Airport,Arlington,38.8534164,-77.0440423
Rivercrest,Arlington,38.9220556,-77.1191454
Rosslyn,Arlington,38.8967784,-77.0724777
Shirlington,Arlington,38.8417794,-77.0883115
Tara,Arlington,38.8903895,-77.1349793
Virginia Square,Arlington,38.88291,-77.1074679
Woodlawn,Arlington,38.88718655,-77.1209651875106
Waverly Hills,Arlington,0.0,0.0
Westmont,Arlington,38.8626123,-77.0919227
Westover,Arlington,38.8870562,-77.1394238
Williamsburg Village,Arlington,38.9051115,-77.1549797
Yorktown,Arlington,38.9034706,-77.13931
