index,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Alcova Heights,38.8645566,-77.0972006,Redbox,38.86846,-77.097939,Video Store
1,Alcova Heights,38.8645566,-77.0972006,Burger King,38.86073734536436,-77.09486849606037,Fast Food Restaurant
2,Alcova Heights,38.8645566,-77.0972006,7-Eleven,38.868448951583815,-77.09706723690033,Convenience Store
3,Alcova Heights,38.8645566,-77.0972006,El Ranchero Migueleno,38.86075285033368,-77.09490642875895,Mexican Restaurant
4,Alcova Heights,38.8645566,-77.0972006,Alcova Heights Playground,38.86109762182888,-77.10080623626709,Playground
5,Alcova Heights,38.8645566,-77.0972006,Alcova Heights,38.86158595382979,-77.10147024907593,Basketball Court
6,Arlington Forest,38.8688556,-77.1130838,Crystal Thai,38.86760777456872,-77.11725011180502,Thai Restaurant
7,Arlington Forest,38.8688556,-77.1130838,Outback Steakhouse,38.86760997113004,-77.1174064753671,Steakhouse
8,Arlington Forest,38.8688556,-77.1130838,Subway,38.867888446632854,-77.11699607500843,Sandwich Place
9,Arlington Forest,38.8688556,-77.1130838,Sense of Place Café,38.86816493705109,-77.11694240570068,Café
10,Arlington Forest,38.8688556,-77.1130838,Bricks Pizza,38.867858490354045,-77.11695327271795,Pizza Place
11,Arlington Forest,38.8688556,-77.1130838,Arlington Forest Shopping Center,38.867698966637775,-77.1170691197402,Shopping Mall
12,Arlington Forest,38.8688556,-77.1130838,Fiesta Oriental Market,38.867671027913985,-77.11714085327007,Grocery Store
13,Arlington Heights,38.869556599999996,-77.0922005,Thomas Jefferson Community Center & Theatre,38.86975065720089,-77.09581122327315,School
14,Arlington Heights,38.869556599999996,-77.0922005,7-Eleven,38.868448951583815,-77.09706723690033,Convenience Store
15,Arlington Heights,38.869556599999996,-77.0922005,China Express,38.87071598928501,-77.09356327401393,Chinese Restaurant
16,Arlington Heights,38.869556599999996,-77.0922005,The Arlington Players,38.87051087442596,-77.09704757741835,Theater
17,Arlington View,38.86307935,-77.0725928623003,Dama Restaurant,38.86700735399717,-77.07050593394246,Ethiopian Restaurant
18,Arlington View,38.86307935,-77.0725928623003,Dama Pastry And Cafe,38.86699021271531,-77.07065025631844,Ethiopian Restaurant
19,Arlington View,38.86307935,-77.0725928623003,Sheraton Pentagon City Hotel,38.866730204161826,-77.072582259287,Hotel
20,Arlington View,38.86307935,-77.0725928623003,Potomac Restaurant & Lounge,38.86701956236672,-77.07268247588385,Hotel Bar
21,Aurora Hills,38.8515014,-77.0641441,Oakcrest Park,38.84931098746608,-77.06416746773488,Park
22,Aurora Hills,38.8515014,-77.0641441,Haley Park,38.8503930499137,-77.06842294682048,Park
23,Aurora Hills,38.8515014,-77.0641441,Nina Park,38.852432,-77.059434,Playground
24,Aurora Hills,38.8515014,-77.0641441,Metro Guitar Service,38.85339081287384,-77.05944657325745,Music Store
25,Aurora Hills,38.8515014,-77.0641441,Theatre De La Luna,38.84823096579828,-77.06739664077759,Theater
