Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Metro,Cat 2,Cat 3,Manually Categorized
Court House,38.8912111,-77.085624,Arlington Rooftop Bar & Grill,38.89030275,-77.08812233,Bar,Metro,On-premise Food/Drink,Bar,Bar
Reagan National Airport,38.8534164,-77.0440423,American airlines,38.85072709,-77.04838183,Airport,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,DCA Passenger Pick-up,38.8531897,-77.04372669,Airport,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,Ronald Reagan Washington National Airport (DCA) (Ronald Reagan Washington National Airport),38.85351607,-77.04252914,Airport,Metro,Transportation,,Transportation
Pentagon City,38.8619206,-77.0596308,Basin Barroom,38.86291984,-77.05493977,Bar,,On-premise Food/Drink,Bar,Bar
Westover,38.8870562,-77.1394238,Forest Inn,38.88553197,-77.14055326,Bar,,On-premise Food/Drink,Bar,Bar
Reagan National Airport,38.8534164,-77.0440423,United Club,38.85005352,-77.0413054,Airport Lounge,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,Delta Sky Club,38.85207293,-77.04215205,Airport Lounge,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,American Airlines Admirals Club,38.85367595,-77.04289487,Airport Lounge,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,Emerald Club Lounge,38.854913,-77.043449,Airport Lounge,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,Admirals Club,38.85555759,-77.04346696,Airport Lounge,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,TSA Preâœ“ - DCA Security (Gates 10-22),38.8520941,-77.04234534,Airport Service,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,Delta Ticket Counter,38.85268967,-77.04290584,Airport Service,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,American Airlines,38.8541274,-77.04153984,Airport Service,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,TSA Preâœ“ - DCA Security (Gates 35-45),38.85580625,-77.04333875,Airport Terminal,Metro,Transportation,,Transportation
Reagan National Airport,38.8534164,-77.0440423,TSA - DCA Security (Gates 35-45),38.85588424,-77.04303402,Airport Terminal,Metro,Transportation,,Transportation
Crystal City,38.8579043,-77.0502898,Highline RxR,38.8561493,-77.04944903,Bar,Metro,On-premise Food/Drink,Bar,Bar
Virginia Square,38.88291,-77.1074679,Punch Bowl Social,38.87933329,-77.11010197,Bar,Metro,On-premise Food/Drink,Bar,Bar
Court House,38.8912111,-77.085624,Ragtime,38.889453,-77.083442,Bar,Metro,On-premise Food/Drink,Bar,Bar
